Author,Movie,Userscore
RonD.,the-curious-case-of-benjamin-button,10
Spangle,drag-me-to-hell,8
Spangle,synecdoche-new-york,10
Spangle,body-of-lies,6
EricR.,igor,10
JohnnyStephens,australia,10
spadenx,milk,10
axelkoch,burn-after-reading,9
Spangle,milk,8
RegOz,mamma-mia!,7
Compi24,traitor,6
Compi24,milk,8
aaronpaul121,kung-fu-panda,8
aadityamudhar,sukiyaki-western-django,8
Spangle,let-the-right-one-in,8
gzayas91,the-dark-knight,10
Compi24,the-dark-knight,10
Compi24,let-the-right-one-in,8
Spangle,transsiberian,6
Compi24,transsiberian,6
Spangle,rachel-getting-married,9
MovieGuys,horton-hears-a-who!,7
MovieGuys,get-smart,9
asylumspadez,saw-v,8
spadenx,saw-v,8
aadityamudhar,the-dark-knight,9
joseap84,the-chronicles-of-narnia-prince-caspian,7
spadenx,the-dark-knight,8
JamesL.,get-smart,10
Compi24,run-fatboy-run,6
MovieGuys,kung-fu-panda,8
MovieManiac83,the-chronicles-of-narnia-prince-caspian,7
spadenx,the-forbidden-kingdom,7
aadityamudhar,the-chronicles-of-narnia-prince-caspian,6
Compi24,the-forbidden-kingdom,7
JohnnyStephens,the-love-guru,10
aadityamudhar,kung-fu-panda,8
MovieGuys,nims-island,7
Spangle,hellboy-ii-the-golden-army,8
Compi24,hellboy-ii-the-golden-army,8
asylumspadez,the-ruins,7
asylumspadez,the-dark-knight,7
sinadoom,bankjob,7
Spangle,bankjob,6
MovieGuys,bankjob,8
Compi24,21,6
MovieGuys,21,7
Spangle,in-bruges,8
Spangle,cassandras-dream,7
Compi24,in-bruges,8
Spangle,burn-after-reading,8
Spangle,control,7
LaMagiadeVirue,burn-after-reading,9
MovieGuys,burn-after-reading,8
Spangle,the-savages,8
asylumspadez,juno,6
EricR.,semi-pro,10
asylumspadez,semi-pro,6
MovieGuys,untraceable,6
Compi24,semi-pro,6
RegOz,the-orphanage,10
spadenx,i-am-legend,7
Compi24,vantage-point,6
Compi24,the-savages,7
MovieGuys,vantage-point,6
Spangle,juno,8
axelkoch,the-orphanage,8
TheWalrus2000,juno,10
Spangle,lars-and-the-real-girl,8
Spangle,the-orphanage,9
Compi24,lars-and-the-real-girl,8
JoyceC.,enchanted,7
RegOz,the-mist,9
Spangle,the-mist,7
MovieManiac83,the-mist,7
aaronpaul121,enchanted,7
Spangle,there-will-be-blood,9
MovieGuys,there-will-be-blood,10
MovieGuys,enchanted,7
asylumspadez,there-will-be-blood,9
asylumspadez,the-bourne-ultimatum,8
RegOz,death-sentence,7
sinadoom,the-bourne-ultimatum,9
Spangle,gone-baby-gone,9
MovieGuys,live-free-or-die-hard,10
Compi24,gone-baby-gone,8
Compi24,there-will-be-blood,10
MarkG.,eastern-promises,10
JamesL.,la-vie-en-rose,10
Compi24,rush-hour-3,6
MovieGuys,rush-hour-3,6
LaMagiadeVirue,live-free-or-die-hard,7
Spangle,the-kingdom,6
MovieGuys,the-kingdom,7
aaronpaul121,ratatouille,10
MarkG.,la-vie-en-rose,10
JamesL.,stardust,9
JoyceC.,oceans-thirteen,8
devo-nc,oceans-thirteen,6
TheWalrus2000,mr-brooks,7
RegOz,mr-brooks,8
MovieGuys,oceans-thirteen,7
Spangle,atonement,8
spadenx,there-will-be-blood,9
TheWalrus2000,atonement,8
JoyceC.,harry-potter-and-the-order-of-the-phoenix,10
MovieGuys,hairspray,7
Spangle,stardust,6
Compi24,stardust,7
Spangle,eastern-promises,8
Broyax,mr-brooks,6
JamesL.,ratatouille,10
MovieGuys,gracie,8
Spangle,sweeney-todd-the-demon-barber-of-fleet-street,8
Compi24,sweeney-todd-the-demon-barber-of-fleet-street,7
EddieM.,spider-man-3,9
asylumspadez,fracture,8
Spangle,fracture,7
Spangle,once,7
Compi24,blades-of-glory,7
Spangle,the-lives-of-others,8
MarkG.,hot-fuzz,10
spadenx,shooter,8
Compi24,shooter,8
spadenx,disturbia,7
MovieGuys,disturbia,7
asylumspadez,harry-potter-and-the-order-of-the-phoenix,8
spadenx,reno-911!-miami,6
spadenx,the-bourne-ultimatum,8
Spangle,the-bourne-ultimatum,8
Compi24,the-last-of-the-mohicans,7
spadenx,harry-potter-and-the-order-of-the-phoenix,7
Spangle,the-last-of-the-mohicans,7
Compi24,the-bourne-ultimatum,10
MovieGuys,the-bourne-ultimatum,9
TheWalrus2000,grindhouse,8
Compi24,the-simpsons-movie,7
MovieGuys,grindhouse,6
Spangle,breach,7
MovieGuys,breach,8
aadityamudhar,grindhouse,9
Spangle,harry-potter-and-the-order-of-the-phoenix,8
axelkoch,harry-potter-and-the-order-of-the-phoenix,7
Spangle,the-good-german,8
Compi24,letters-from-iwo-jima,9
aadityamudhar,the-bourne-ultimatum,9
MovieGuys,the-simpsons-movie,8
JohnnyStephens,28-weeks-later,10
Spangle,the-host,8
